,Model,Cl_0_sensibilite,Cl_0_Specificite,Cl_1_sensibilite,Cl_1_Specificite,Cl_2_sensibilite,Cl_2_Specificite,Cl_3_sensibilite,Cl_3_Specificite,scoreP,score_RetT_P
0,model_2D_pass_2__2022-04-22T21-23-42__.h5,0.9911391716025781,0.7916005841633739,0.8082934571414545,0.9892142909076829,0.0,1.0,0.0,1.0,0.0,0.0
1,model_2D_equil_pass_1__2022-04-23T00-29-53__.h5,0.9983942493051775,0.5813298445514923,0.6505013642418713,0.9974867314712054,0.0,1.0,0.0,1.0,0.0,0.0
2,reboucle_equil__2022-04-23T01-58-38__.h5,0.9999983819861462,2.297042277318341e-06,2.9653850601923743e-06,0.9999983862798083,0.0,1.0,0.0,1.0,0.0,0.0
3,Copie de reboucle_equil__2022-04-23T01-58-38__.h5,0.9999983819861462,2.297042277318341e-06,2.9653850601923743e-06,0.9999983862798083,0.0,1.0,0.0,1.0,0.0,0.0
4,model_2D_pass_2__2022-04-23T10-31-19__.h5,0.9996583972017435,0.005743116147135257,0.007121866452895352,0.9996566382070433,0.0,1.0,0.0,1.0,0.0,0.0
5,the_model_2D_debug__2022-04-25T21-12-33__.h5,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
6,6-2__2022-04-26T21-28-27__.h5,0.9963557386591496,0.7288846940926709,0.7826145404691042,0.9949212349034335,0.0,1.0,0.0,1.0,0.0,0.0
7,6-3__2022-04-27T23-10-40__.h5,0.9156814654632894,0.9926532931163768,0.9968273674728231,0.913309121219821,0.0,1.0,0.0,1.0,0.0,0.0
8,dice_6_5_1a_RAM_model_2D__2022-05-06T21-32-14__.h5,0.9980724905278546,0.6239108829269014,0.678800692845745,0.9969225754932187,0.0,1.0,0.0,1.0,0.0,0.0
9,_dice_6_5_1a_RAM_model_2D__2022-05-07T06-56-42__.h5,0.9997325516504522,0.5360462083233583,0.590491855240445,0.9988073435808171,0.0,1.0,0.0,1.0,0.0,0.0
10,pass_2_model_test1_dice__2022-05-24T12-15-18__.h5_ep_01_loss_0.011190.h5,0.999109682604075,0.5985997740731307,0.6049741368999667,0.9992882051523381,0.4020012236278592,0.9993384945593963,0.0,0.9999998957665662,0.0,0.059065209051471154
11,pass_2_model_test1_dice__2022-05-24T12-15-18__.h5_ep_01_loss_0.011085.h5,0.9993098854542006,0.5085592899791276,0.5367834600046985,0.9990321375080725,0.1725721609569838,0.9996365254984436,0.0,1.0,0.0,0.00856961479924998
12,pass_2_model_test1_dice__2022-05-24T12-15-18__.h5_ep_01_loss_0.010646.h5,0.9995581797738253,0.5563176064206926,0.5815462769755313,0.9992160354984786,0.25399217296107496,0.9997561809317576,0.0,1.0,0.0,0.021795293388705977
13,pass_2_model_test1_dice__2022-05-24T12-15-18__.h5_ep_01_loss_0.010396.h5,0.9993987858243257,0.641104499599549,0.6677546334965283,0.9987809831459548,0.2515333078701097,0.9998134918179769,0.0,1.0,0.0,0.0281717666597343
14,pass_2_model_test1_dice__2022-05-24T12-15-18__.h5_ep_02_loss_0.008964.h5,0.9996713322733907,0.5942011933389858,0.6139912138935539,0.9993783450980898,0.3267016727944804,0.9997448716153896,0.0,1.0,0.0,0.04020186021264554
15,pass_2_model_test1_dice__2022-05-24T12-15-18__.h5_ep_02_loss_0.008377.h5,0.9996510573847084,0.5670705717746591,0.6217934714741489,0.9990832025866883,0.14302979081071732,0.9999337264507036,0.0,1.0,0.0,0.00790165742058775
16,pass_2_model_test1_dice__2022-05-24T12-15-18__.h5_ep_02_loss_0.008232.h5,0.9996139756407623,0.5995213984801747,0.585876068650641,0.9994844148962361,0.42139816316508644,0.9995091941801291,0.0,1.0,0.0,0.06089191237455919
17,pass_2_model_test1_dice__2022-05-24T12-15-18__.h5_ep_02_loss_0.007994.h5,0.9997256909101446,0.4413863722096679,0.4768444612702589,0.9994702820730307,0.20476378990286437,0.9999387183136832,0.0007837713231904104,1.0,3.374910920868914e-05,0.00952802907397475
18,pass_2_model_test1_dice__2022-05-24T12-15-18__.h5_ep_03_loss_0.005093.h5,0.9997508891407956,0.5262830129639962,0.5712679228696756,0.9992946059419251,0.1510460625071833,0.999862526720835,0.0,1.0,0.0,0.0074393044046128605
19,model_2D__2022-04-19T17-52-10__.h5,0.9850846933231908,0.7493337301261178,0.7837407278175195,0.9834534510615838,0.0,1.0,0.0,0.9999961850563241,0.0,0.0
20,model_2D__2022-04-20T04-52-18__.h5,0.9854777682455905,0.239208878221538,0.2812278934662353,0.9852686068060917,0.0,0.9999961754925377,0.0,1.0,0.0,0.0
21,model_2D__2022-04-20T06-31-45__.h5,0.999307252038729,0.5818058427567366,0.6624034314117968,0.9985002589389844,0.0,1.0,0.0,1.0,0.0,0.0
22,model_2D__2022-04-20T09-00-09__.h5,0.9924215545454074,0.09817328989030857,0.11801804206168066,0.9923621391252485,0.0,1.0,0.0,1.0,0.0,0.0
23,model_2D__2022-04-20T12-22-43__.h5,0.9980198945318911,0.6058742517384782,0.6642703060508023,0.9969499606554282,0.0,1.0,0.0,1.0,0.0,0.0
24,model_2D__2022-04-20T17-57-23__.h5,0.9940501864268331,0.6655049588038229,0.7464147670904202,0.9930378822017015,0.0,1.0,0.0,1.0,0.0,0.0
25,model_2D__2022-04-20T20-45-19__.h5,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
26,model_2D__2022-04-20T21-23-32__.h5,0.9996453175031599,0.5941292193476297,0.6694936670907168,0.998756996712864,0.0,1.0,0.0,1.0,0.0,0.0
27,model_2D__2022-04-21T04-58-09__.h5,0.9997591660198578,0.4126202565438906,0.4905761710223231,0.9993758418785001,0.0,1.0,0.0,1.0,0.0,0.0
28,model_2D__2022-04-21T17-06-23__.h5,0.9996003837217778,0.5148166883694624,0.5719960896455673,0.9987567953734732,0.0,1.0,0.0,1.0,0.0,0.0
29,model_2D__2022-04-21T23-41-00__.h5,0.999704457868007,0.46484070522260634,0.5368984510475882,0.9991289096334572,0.0,1.0,0.0,1.0,0.0,0.0
30,6_3_2b_RAM_model_2D__2022-04-30T11-54-48__.h5,0.9997913063434682,0.536124307760787,0.5579530144621829,0.9993393573778543,0.2595043030139092,0.9999012644135155,0.0,1.0,0.0,0.02094857534010344
31,OK_6_3_2b_RAM_model_2D__2022-05-01T06-23-36__.h5,0.9998202106393709,0.509452328971165,0.4800246720037008,0.9995291392865755,0.40079036607834234,0.9997205989802072,0.1433379437528815,0.9999992554754731,0.014035931618603524,0.03698586386986843
32,test1_dice_6_5_1a_RAM_model_2D__2022-05-04T22-26-24__.h5,0.9993483140364944,0.7318734013223818,0.6499069692809172,0.9993577874447731,0.729794177435327,0.9991968474617829,0.0,1.0,0.0,0.22463386659852314
33,ok_dice_6_6_5e_RAM_model_2D_6epochs_2022-05-08T08-51-33__.h5,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
34,6.6.7.h_juste_Miou_Cfred_2.5__model_2D___2022-05-11T22-55-08__.h5,0.9996774909704432,0.4214832665574636,0.45450852202243214,0.9995895441088702,0.22940352205142256,0.9998662138923541,0.0,1.0,0.0,0.010865452617748203
35,6_dice_recall_precision_2022-05-10T23-23-46__.h5,0.999988420805884,0.0,0.0,0.9999961505110512,0.0,1.0,0.0,0.9999923701126484,0.0,0.0
36,6.6.8i_KLD_Miou_Cfred_2.5__model_2D___2022-05-12T22-41-54__.h5_ep_01_loss_0.288509.h5,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
37,6.6.8i_KLD_Miou_Cfred_2.5__model_2D___2022-05-12T22-41-54__.h5_ep_01_loss_0.277024.h5,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
38,6.6.8i_KLD_Miou_Cfred_2.5__model_2D___2022-05-12T22-41-54__.h5_ep_01_loss_0.271440.h5,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
39,6.6.8i_KLD_Miou_Cfred_2.5__model_2D___2022-05-12T22-41-54__.h5_ep_01_loss_0.267738.h5,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
40,6.6.8i_KLD_Miou_Cfred_2.5__model_2D___2022-05-12T22-41-54__.h5_ep_02_loss_0.265271.h5,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
41,6.6.8i_KLD_Miou_Cfred_2.5__model_2D___2022-05-12T22-41-54__.h5_ep_02_loss_0.263058.h5,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
42,6.6.8i_KLD_Miou_Cfred_2.5__model_2D___2022-05-12T22-41-54__.h5_ep_02_loss_0.258491.h5,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
43,6.6.8i_KLD_Miou_Cfred_2.5__model_2D___2022-05-12T22-41-54__.h5_ep_03_loss_0.255507.h5,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
44,6.6.8i_KLD_Miou_Cfred_2.5__model_2D___2022-05-12T22-41-54__.h5_ep_03_loss_0.255280.h5,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
45,6.6.8i_KLD_Miou_Cfred_2.5__model_2D___2022-05-12T22-41-54__.h5_ep_03_loss_0.254337.h5,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
46,pass_2_model_OK_1__2D___2022-05-22T18-49-47__.h5_ep_01_loss_0.008253.h5,0.9995406226663276,0.5660443043305372,0.6176455567493976,0.9992677256307253,0.1879394873068926,0.9997354820166628,0.06187183033656063,0.9999994133146728,0.0040594566600427795,0.013461135177347426
47,pass_2_model_OK_1__2D___2022-05-22T18-49-47__.h5_ep_01_loss_0.007916.h5,0.9998940366644109,0.5194426762890618,0.5162534402585288,0.9998183798492686,0.36570219869905374,0.9996361373751258,0.1769017980636238,0.9999928734112286,0.01733701607983797,0.03562411830085361
48,pass_2_model_OK_1__2D___2022-05-22T18-49-47__.h5_ep_01_loss_0.007898.h5,0.9998391989509292,0.44148055094303795,0.44964825590877683,0.999634343625848,0.3132963303934532,0.9999216289454441,0.02946058091286307,1.0,0.0018311266933113306,0.019836432716755927
49,pass_2_model_OK_1__2D___2022-05-22T18-49-47__.h5_ep_02_loss_0.006976.h5,0.9995432590948604,0.6844512187340642,0.6919254871221564,0.9988455469789482,0.31091524809809457,0.9997712848999479,0.17865375749193177,0.9999974656385104,0.02625762830721736,0.046216994101819016
50,pass_2_model_OK_1__2D___2022-05-22T18-49-47__.h5_ep_02_loss_0.006683.h5,0.9996814380805894,0.651478452977758,0.6123029213326177,0.9992901253892142,0.5569817024680365,0.9997782561918485,0.34642692485016136,0.9999936238919517,0.076872870300137,0.11620098318804818
51,pass_2_model_OK_1__2D___2022-05-22T18-49-47__.h5_ep_02_loss_0.006469.h5,0.9996721036170528,0.6243501284557087,0.6954582491905322,0.9991326449299158,0.15909484044658934,0.9999628446562305,0.20557860765329644,0.9999947108977609,0.014183897116238188,0.012230982053980394
52,pass_2_model_OK_1__2D___2022-05-22T18-49-47__.h5_ep_03_loss_0.005535.h5,0.9998047174787817,0.46594915573487233,0.48232119798920536,0.9996827191708111,0.32047904914595654,0.999885455852225,0.2527431996311664,0.9999967151577873,0.018191989321025347,0.023882754919983137
53,pass_2_model_OK_1__2D___2022-05-22T18-49-47__.h5_ep_04_loss_0.005519.h5,0.9997779886130512,0.49737550158470395,0.5712415638913628,0.9996467154806506,0.16075614164827548,0.9999174670692517,0.20783771323190411,0.9999984335203954,0.009486580752879137,0.008429182275278084
54,Pass_2_model_OK_1__2D___2022-05-22T18-49-47__.h5_ep_05_loss_0.004946.h5,0.9998649274803479,0.46079714513376696,0.534890555874609,0.9997554417567288,0.13225513221333848,0.9999116840318164,0.07238358690640849,0.9999987700454815,0.0023584331174363645,0.0050027678228146575
55,pass_3_model_OK_1__2D___2022-05-23T15-16-38__.h5_ep_01_loss_0.005502.h5,0.9997119061552446,0.5863843584692714,0.5747904708339553,0.9994703451794068,0.4368711348045504,0.9997258864140213,0.1529276164130936,0.9999972482373486,0.022493432136477268,0.06300524012916499
56,pass_3_model_OK_1__2D___2022-05-23T15-16-38__.h5_ep_01_loss_0.005281.h5,0.999697256651786,0.5905292436452325,0.6089632387803833,0.9993457010711961,0.3610212997156865,0.9999039842623041,0.2284462886122637,0.9999994550080463,0.029627276385909878,0.048297188606261095
57,pass_3_model_OK_1__2D___2022-05-23T15-16-38__.h5_ep_01_loss_0.005210.h5,0.9995200042886707,0.7356658181222343,0.6770448554028822,0.9993222435296394,0.6421410933474813,0.9994346655464194,0.4487321346242508,0.9999728695262401,0.14327002127534472,0.1887799098612919
58,pass_3_model_OK_1__2D___2022-05-23T15-16-38__.h5_ep_04_loss_0.004812.h5,0.9997752738449278,0.5726600413161338,0.5887742383161357,0.999571195178721,0.3961524217731459,0.9998901551299344,0.3834946980175196,0.9999930520971151,0.05118382735982097,0.05437362076753897
59,pass_3_model_OK_1__2D___2022-05-23T15-16-38__.h5_ep_04_loss_0.004267.h5,0.9998008728127157,0.5517099948393117,0.5626818151715031,0.9996993732439994,0.41503042236058013,0.9998465957514212,0.3727985246657446,0.9999911282457375,0.04799989634614278,0.05451153559714833
60,pass_3_model_OK_1__2D___2022-05-23T15-16-38__.h5_ep_04_loss_0.004150.h5,0.999810285615843,0.5047826972482965,0.5275291522062959,0.9997141761968188,0.34318001609059023,0.9998810013907623,0.3354080221300138,0.9999945500804631,0.030632734074585628,0.03276129622571944
61,pass_3_model_OK_1__2D___2022-05-23T15-16-38__.h5_ep_04_loss_0.004113.h5,0.9998219461626108,0.49026513482872486,0.5183908239124697,0.9996821602286218,0.29003927450709505,0.9998838197631623,0.38464730290456434,0.9999886534462101,0.02833590167378272,0.02259642392285299
62,pass_3_model_OK_1__2D___2022-05-23T15-16-38__.h5_ep_05_loss_0.003994.h5,0.9998324918767418,0.5196565564477722,0.5248728261668214,0.9997610341836872,0.4010922097627857,0.9998157877166798,0.3901337021668972,0.9999896421747819,0.04265472437520914,0.04430092844636686
63,pass_3_model_OK_1__2D___2022-05-23T15-16-38__.h5_ep_05_loss_0.003884.h5,0.9997804653493415,0.5794766418875358,0.5733898206238577,0.999663724151572,0.47147635228872975,0.9997808237768739,0.3795758414015675,0.999989922116004,0.059415998078320244,0.07304298656335853
64,pass_3_model_OK_1__2D___2022-05-23T15-16-38__.h5_ep_05_loss_0.003834.h5,0.9998041992322587,0.5340181752194059,0.5147374695183128,0.9997795003113924,0.49745812789581284,0.9997587664301669,0.3897648686030429,0.9999882484248676,0.05326112624022412,0.06553662573898952
65,pass_3_model_OK_1__2D___2022-05-23T15-16-38__.h5_ep_06_loss_0.003792.h5,0.9997826076358407,0.5479311050662033,0.5363946650745843,0.9997408130977103,0.47507990150608387,0.9997503202696588,0.3900414937759336,0.9999896928024496,0.05442117931150677,0.06490545353171216
66,Pass_3_model_OK_1__2D___2022-05-23T15-16-38__.h5_ep_06_loss_0.003551.h5,0.999781444594225,0.6004243913220806,0.5503435069105004,0.9997373722976741,0.6276932292978767,0.9996584007257476,0.37989857076994005,0.9999880429360981,0.07873080712447628,0.11926146208781825
67,model_OK_1_Pass4__2022-05-25T07-04-37__.h5_ep_01_loss_0.003756.h5,0.9998035453979827,0.5757970353861915,0.5484703720141455,0.9997212471160198,0.5313296330393453,0.9997246414338403,0.3985246657445828,0.9999842309705205,0.06682038658643351,0.08487772671063788
68,model_OK_1_Pass4__2022-05-25T07-04-37__.h5_ep_01_loss_0.003631.h5,0.9998022106118798,0.5402398418409824,0.5302816885166123,0.9997520009566927,0.4733849331242098,0.9997925988412232,0.39193176579068695,0.999986074413249,0.0531163690438941,0.06298604261722186
69,model_OK_1_Pass4__2022-05-25T07-04-37__.h5_ep_02_loss_0.003495.h5,0.9998007221596567,0.597736851857618,0.5709977433419692,0.9996684631399188,0.5528476049284108,0.9997734464482717,0.3739511295527893,0.9999862918144109,0.07050660247655204,0.09959493168248235
70,model_OK_1_Pass4__2022-05-25T07-04-37__.h5_ep_02_loss_0.003447.h5,0.9998201503781473,0.5864619474528608,0.5516275186415637,0.999738733592361,0.5588635817468158,0.9996949917979243,0.40064545873674506,0.9999877510824836,0.07238063626213667,0.09498554116801028
71,model_OK_1_Pass4__2022-05-25T10-15-57__.h5_ep_01_loss_0.003710.h5,0.9997869645223074,0.6306144179728755,0.5695845726171731,0.9997449510729504,0.6821690487164097,0.9996125693330433,0.35846011987090826,0.9999917059967705,0.0877565954099939,0.15087642502326612
72,model_OK_1_Pass4__2022-05-25T10-15-57__.h5_ep_01_loss_0.003691.h5,0.9997767080620497,0.5676259455519308,0.5427043455082159,0.999695643957672,0.5451610394103368,0.9997947245627792,0.3863992623328723,0.9999910954866583,0.06484319790834793,0.08748928362441134
73,model_OK_1_Pass4__2022-05-25T10-15-57__.h5_ep_01_loss_0.003647.h5,0.9998084657268901,0.519474324427105,0.5006070802192671,0.9997238855635585,0.48048754720661085,0.9998197674734692,0.3970954356846473,0.999985657479514,0.04958501792991963,0.05783091127961771
74,model_OK_1_Pass4__2022-05-25T10-15-57__.h5_ep_01_loss_0.003610.h5,0.9998203763577358,0.5375420932997319,0.5387501692740638,0.9997558113797895,0.44916081651038514,0.9998513726537942,0.37289073305670817,0.9999862769239203,0.04847622125763077,0.058533965733677376
75,model_OK_1_Pass4__2022-05-25T10-15-57__.h5_ep_02_loss_0.003328.h5,0.9998186348083736,0.6027206679186398,0.5728227731029032,0.9997027539427249,0.5779273322939075,0.9997926704947588,0.4319502074688797,0.9999772622209487,0.08612623646146847,0.10953876914725312
76,model_OK_1_Pass4__2022-05-25T10-15-57__.h5_ep_03_loss_0.003098.h5,0.999804154036341,0.5801022030677255,0.5335376813127035,0.9997565926968283,0.5832223670813922,0.9996361463318177,0.3755186721991701,0.9999845049555464,0.06772979410369127,0.09676866837758981
